Club;Capacidad;Prioridad;Tamano_Ciudad;Conferencia;Solvencia_Economica
Barrio Parque;700;16;1317298;0;1
Centenario;1000;10;75437;0;1
Colón;400;28;391164;0;0
Deportivo Norte;1200;18;11181;0;1
Provincial;10000;26;1193605;0;0
Rivadavia;900;20;82582;0;0
San Isidro;2200;1;61750;0;0
Sportivo Suardi;1200;4;5165;0;0
Amancay;1200;5;178872;0;0
Comunicaciones;3500;11;33551;0;0
Estudiantes;600;25;548866;0;0
Independiente BBC;1000;9;252192;0;1
Jujuy Básquet;2000;15;257970;0;1
Salta Basket;10000;24;520683;0;0
Villa San Martín;1200;7;290723;0;1
El Talar;6000;17;2936877;1;1
GELP;3000;13;643133;1;1
Hispano Americano;1200;23;95796;1;0
La Unión;1300;6;23150;1;1
Lanús;3000;2;2936877;1;1
Racing Club;1000;12;2936877;1;1
Tomás de Rocamora;1000;27;72528;1;0
Ciclista;2500;29;87509;1;0
Deportivo Viedma;2500;3;52789;1;1
Pergamino;200;22;104985;1;1
Pico FC;2000;8;56795;1;1
Quilmes;8000;14;593337;1;1
Union;8000;19;593337;1;1
Villa Mitre (BB);2800;21;291327;1;1
