Club;Capacidad;Prioridad;Tamano_Ciudad;Compro_Plaza;Conferencia;Solvencia_Economica
Ameghino;500;6;79351;0;0;0
Atenas;2000;11;20533;0;1;0
Barrio Parque;1000;9;1317298;0;0;1
Central Argentino Olímpico;1500;24;14499;0;0;0
Ciclista Juninense;3100;13;87509;0;1;1
Colón;400;23;391164;0;0;0
Deportivo Norte;1000;12;11181;0;0;1
Del Progreso;2500;16;81534;0;1;0
Deportivo Viedma;2500;4;52789;0;1;1
Echagüe;2306;8;247139;0;0;0
Estudiantes Concordia;1600;5;149450;0;1;0
Estudiantes;7100;22;111320;0;1;0
Estudiantes;1200;14;548866;0;0;0
Gimnasia y Esgrima La Plata;3000;19;643133;0;1;1
Independiente BBC;1000;28;252192;0;0;1
Lanús;3000;10;2936877;0;1;1
Parque Sur;1500;25;72528;0;1;1
Quilmes;8000;3;593337;0;1;1
Racing;1500;15;58152;0;1;1
Riachuelo;13000;26;178872;1;0;1
Rivadavia;900;27;82582;0;1;0
Salta Basket;10000;7;520683;0;0;0
San Isidro;800;18;61750;0;0;1
Sportivo América;2500;17;1193605;0;0;0
Tiro Federal;1300;21;18129;0;0;0
Tomás de Rocamora;1000;20;72528;0;1;1
Villa Mitre;2500;1;291327;0;1;1
Villa San Martín;1000;2;290723;0;0;1
Asociación Mitre;600;23;548866;0;0;0
Club Atlético Atenas;2000;3;20533;0;1;1
Club Atlético Estudiantes;7100;1;111320;0;1;1
Club Atlético Barrio Parque;1000;19;1317298;0;0;1
Club Atlético Platense;2100;11;2936877;0;1;1
Club Atlético San Isidro;800;7;61750;0;0;1
Club Atlético Temperley;1200;20;2936877;0;1;0
Club Atlético Unión;4500;5;391164;0;0;1
Club Ciclista Juninense;3100;17;87509;0;1;0
Club de Gimnasia y Esgrima La Plata;3000;15;643133;0;1;1
Club La Unión;1000;24;23150;0;1;0
Club Olimpo;2000;16;291327;0;1;0
Club Parque Sur;1500;6;72528;0;1;1
Club Social y Deportivo Huracán;550;9;97915;0;1;0
Club Social y Deportivo Petrolero Argentino;1000;13;35465;0;1;0
BHY Tiro Federal;1300;10;18129;0;0;1
Club Tomás de Rocamora;1000;21;72528;0;1;1
Deportivo Viedma;2500;4;52789;0;1;1
Hindú Club;3100;2;290723;0;0;0
Independiente Basketball Club;4000;14;252192;0;0;1
Oberá Tenis Club;2000;22;63960;0;0;0
Salta Basket;10000;18;520683;1;0;1
Sportivo Atlético Club Las Parejas;2500;25;12375;0;0;0
Villa Ángela Basket;1750;8;41403;0;0;0
Villa San Martín;1000;12;290723;0;0;0
Atlético Echagüe Club;3000;3;247139;1;0;1
Club Atlético Atenas;2000;11;20533;0;1;1
Club Atlético Estudiantes;7100;9;111320;0;1;1
Club Atlético Barrio Parque;1000;1;1317298;0;0;1
Club Atlético Platense;2100;2;2936877;0;1;1
Club Atlético San Isidro;800;8;61750;0;0;1
Club Atlético Sarmiento;3500;25;290723;0;0;0
Club Atlético Unión;4500;10;391164;0;0;1
Club Ciclista Juninense;3100;20;87509;0;1;1
